id,frame,x,y,action
279,279,688,219,0
280,280,688,219,0
281,281,688,219,0
282,282,688,219,0
283,283,688,219,0
284,284,688,219,0
285,285,688,219,0
286,286,688,219,0
287,287,688,219,0
288,288,688,219,0
289,289,688,219,0
290,290,688,219,0
291,291,688,219,0
292,292,688,219,0
293,293,688,219,0
294,294,688,219,0
295,295,688,219,0
296,296,688,219,0
297,297,688,219,0
298,298,688,219,0
299,299,688,219,0
300,300,688,219,0
301,301,688,219,0
302,302,688,219,0
303,303,688,219,0
304,304,688,219,0
305,305,688,219,0
306,306,688,219,0
307,307,688,219,0
308,308,688,219,0
309,309,688,219,0
310,310,688,219,0
311,311,688,219,0
312,312,688,219,0
313,313,688,219,0
314,314,688,219,0
315,315,688,219,0
316,316,688,219,0
317,317,688,219,0
